,0,1,2,3
0,5.0,3.3,1.4,0.2
1,6.7,3.1,4.4,1.4
2,6.0,2.2,4.0,1.0
3,6.4,2.7,5.3,1.9
4,4.7,3.2,1.6,0.2
5,4.6,3.1,1.5,0.2
6,5.1,3.4,1.5,0.2
7,7.7,3.8,6.7,2.2
8,4.3,3.0,1.1,0.1
9,6.3,3.3,6.0,2.5
10,5.5,2.4,3.7,1.0
11,5.0,2.0,3.5,1.0
12,6.5,2.8,4.6,1.5
13,5.0,3.4,1.6,0.4
14,4.4,2.9,1.4,0.2
15,5.0,3.5,1.6,0.6
16,6.7,3.1,4.7,1.5
17,7.3,2.9,6.3,1.8
18,5.5,2.6,4.4,1.2
19,5.2,2.7,3.9,1.4
20,5.7,4.4,1.5,0.4
21,7.2,3.2,6.0,1.8
22,5.4,3.4,1.7,0.2
23,5.8,4.0,1.2,0.2
24,6.1,2.6,5.6,1.4
25,5.7,2.5,5.0,2.0
26,4.8,3.0,1.4,0.1
27,6.5,3.0,5.8,2.2
28,4.6,3.2,1.4,0.2
29,6.6,2.9,4.6,1.3
30,6.7,3.0,5.2,2.3
31,6.1,3.0,4.6,1.4
32,5.7,3.8,1.7,0.3
33,7.0,3.2,4.7,1.4
34,4.7,3.2,1.3,0.2
35,6.5,3.0,5.2,2.0
36,7.7,2.6,6.9,2.3
37,4.9,2.4,3.3,1.0
38,4.8,3.1,1.6,0.2
39,5.5,4.2,1.4,0.2
40,5.6,3.0,4.1,1.3
41,6.4,3.2,5.3,2.3
42,5.2,3.5,1.5,0.2
43,7.9,3.8,6.4,2.0
44,5.8,2.8,5.1,2.4
45,5.7,2.9,4.2,1.3
46,5.1,3.7,1.5,0.4
47,5.1,2.5,3.0,1.1
48,5.0,3.4,1.5,0.2
49,7.7,2.8,6.7,2.0
50,7.6,3.0,6.6,2.1
51,5.0,3.2,1.2,0.2
52,5.4,3.7,1.5,0.2
53,6.7,3.3,5.7,2.5
54,6.1,2.8,4.0,1.3
55,6.3,2.5,5.0,1.9
56,7.4,2.8,6.1,1.9
57,5.0,2.3,3.3,1.0
58,5.4,3.4,1.5,0.4
59,5.4,3.9,1.3,0.4
60,5.6,2.8,4.9,2.0
61,4.9,3.0,1.4,0.2
62,5.3,3.7,1.5,0.2
63,6.0,2.7,5.1,1.6
64,6.8,3.2,5.9,2.3
65,6.2,3.4,5.4,2.3
66,5.7,2.8,4.1,1.3
67,6.3,2.3,4.4,1.3
68,4.9,3.1,1.5,0.1
69,6.9,3.1,5.1,2.3
70,5.0,3.6,1.4,0.2
71,4.4,3.0,1.3,0.2
72,6.0,2.9,4.5,1.5
73,6.1,2.8,4.7,1.2
74,6.4,2.8,5.6,2.1
75,4.9,3.1,1.5,0.1
76,5.6,2.9,3.6,1.3
77,5.9,3.0,4.2,1.5
78,6.3,2.7,4.9,1.8
79,6.8,3.0,5.5,2.1
80,5.5,2.3,4.0,1.3
81,6.3,2.8,5.1,1.5
82,4.8,3.4,1.9,0.2
83,6.3,3.3,4.7,1.6
84,5.6,2.5,3.9,1.1
85,5.1,3.8,1.9,0.4
86,5.1,3.8,1.5,0.3
87,4.6,3.4,1.4,0.3
88,5.7,2.8,4.5,1.3
89,6.6,3.0,4.4,1.4
90,5.1,3.5,1.4,0.2
91,7.7,3.0,6.1,2.3
92,6.1,3.0,4.9,1.8
93,6.2,2.2,4.5,1.5
94,6.3,3.4,5.6,2.4
95,4.4,3.2,1.3,0.2
96,6.5,3.2,5.1,2.0
97,5.5,2.5,4.0,1.3
98,6.3,2.5,4.9,1.5
99,5.1,3.3,1.7,0.5
100,5.8,2.7,5.1,1.9
101,5.8,2.6,4.0,1.2
102,6.3,2.9,5.6,1.8
103,5.8,2.7,4.1,1.0
104,5.0,3.0,1.6,0.2
