,,,,,,,,Actual,Prediction
0,5.1,3.5,1.4,0.2,Iris-setosa,,#N/A,train,
1,4.9,3,1.4,0.2,Iris-setosa,,#N/A,train,
2,4.7,3.2,1.3,0.2,Iris-setosa,,#N/A,train,
3,4.6,3.1,1.5,0.2,Iris-setosa,,#N/A,train,
4,5,3.6,1.4,0.2,Iris-setosa,,#N/A,train,
5,5.4,3.9,1.7,0.4,Iris-setosa,,5,test,
6,4.6,3.4,1.4,0.3,Iris-setosa,,#N/A,train,
7,5,3.4,1.5,0.2,Iris-setosa,,#N/A,train,
8,4.4,2.9,1.4,0.2,Iris-setosa,,#N/A,train,
9,4.9,3.1,1.5,0.1,Iris-setosa,,#N/A,train,
10,5.4,3.7,1.5,0.2,Iris-setosa,,#N/A,train,
11,4.8,3.4,1.6,0.2,Iris-setosa,,11,test,
12,4.8,3,1.4,0.1,Iris-setosa,,#N/A,train,
13,4.3,3,1.1,0.1,Iris-setosa,,#N/A,train,
14,5.8,4,1.2,0.2,Iris-setosa,,#N/A,train,
15,5.7,4.4,1.5,0.4,Iris-setosa,,#N/A,train,
16,5.4,3.9,1.3,0.4,Iris-setosa,,#N/A,train,
17,5.1,3.5,1.4,0.3,Iris-setosa,,17,test,
18,5.7,3.8,1.7,0.3,Iris-setosa,,#N/A,train,
19,5.1,3.8,1.5,0.3,Iris-setosa,,#N/A,train,
20,5.4,3.4,1.7,0.2,Iris-setosa,,#N/A,train,
21,5.1,3.7,1.5,0.4,Iris-setosa,,#N/A,train,
22,4.6,3.6,1,0.2,Iris-setosa,,22,test,
23,5.1,3.3,1.7,0.5,Iris-setosa,,#N/A,train,
24,4.8,3.4,1.9,0.2,Iris-setosa,,#N/A,train,
25,5,3,1.6,0.2,Iris-setosa,,#N/A,train,
26,5,3.4,1.6,0.4,Iris-setosa,,#N/A,train,
27,5.2,3.5,1.5,0.2,Iris-setosa,,#N/A,train,
28,5.2,3.4,1.4,0.2,Iris-setosa,,28,test,
29,4.7,3.2,1.6,0.2,Iris-setosa,,#N/A,train,
30,4.8,3.1,1.6,0.2,Iris-setosa,,#N/A,train,
31,5.4,3.4,1.5,0.4,Iris-setosa,,#N/A,train,
32,5.2,4.1,1.5,0.1,Iris-setosa,,32,test,
33,5.5,4.2,1.4,0.2,Iris-setosa,,#N/A,train,
34,4.9,3.1,1.5,0.1,Iris-setosa,,#N/A,train,
35,5,3.2,1.2,0.2,Iris-setosa,,#N/A,train,
36,5.5,3.5,1.3,0.2,Iris-setosa,,36,test,
37,4.9,3.1,1.5,0.1,Iris-setosa,,37,test,
38,4.4,3,1.3,0.2,Iris-setosa,,#N/A,train,
39,5.1,3.4,1.5,0.2,Iris-setosa,,#N/A,train,
40,5,3.5,1.3,0.3,Iris-setosa,,40,test,
41,4.5,2.3,1.3,0.3,Iris-setosa,,41,test,
42,4.4,3.2,1.3,0.2,Iris-setosa,,#N/A,train,
43,5,3.5,1.6,0.6,Iris-setosa,,#N/A,train,
44,5.1,3.8,1.9,0.4,Iris-setosa,,#N/A,train,
45,4.8,3,1.4,0.3,Iris-setosa,,45,test,
46,5.1,3.8,1.6,0.2,Iris-setosa,,46,test,
47,4.6,3.2,1.4,0.2,Iris-setosa,,#N/A,train,
48,5.3,3.7,1.5,0.2,Iris-setosa,,#N/A,train,
49,5,3.3,1.4,0.2,Iris-setosa,,#N/A,train,
50,7,3.2,4.7,1.4,Iris-versicolor,,#N/A,train,
51,6.4,3.2,4.5,1.5,Iris-versicolor,,51,test,
52,6.9,3.1,4.9,1.5,Iris-versicolor,,52,test,
53,5.5,2.3,4,1.3,Iris-versicolor,,#N/A,train,
54,6.5,2.8,4.6,1.5,Iris-versicolor,,#N/A,train,
55,5.7,2.8,4.5,1.3,Iris-versicolor,,#N/A,train,
56,6.3,3.3,4.7,1.6,Iris-versicolor,,#N/A,train,
57,4.9,2.4,3.3,1,Iris-versicolor,,#N/A,train,
58,6.6,2.9,4.6,1.3,Iris-versicolor,,#N/A,train,
